Date,Number of Flows,Accumulated
2026-06-01,8,8
2026-06-02,10,18
2026-06-03,10,28
2026-06-04,8,36
2026-06-05,12,48
2026-06-06,8,56
2026-06-07,9,65
2026-06-08,8,73
2026-06-09,12,85
2026-06-10,10,95
2026-06-11,12,107
2026-06-12,11,118
2026-06-13,6,124
2026-06-14,4,128
2026-06-15,10,138
2026-06-16,9,147
2026-06-17,8,155
2026-06-18,12,167
2026-06-19,9,176
2026-06-20,7,183
2026-06-21,5,188
2026-06-22,10,198
2026-06-23,10,208
2026-06-24,11,219
2026-06-25,9,228
2026-06-26,7,235
2026-06-27,10,245
2026-06-28,3,248
2026-06-29,9,257
2026-06-30,7,264
